S_No,Date,Time,Location,City,Province,No_of_Strike,Al_Qaeda,Taliban,Civilians_Min,Civilians_Max,Foreigners_Min,Foreigners_Max,Total_Died_Min,Total_Died_Max,Injured_Min,Injured_Max,Women_Children,Comments,Source_Name,Longitude,Latitude,Temperature_C
304,2012-06-26,2:00:00,Shawal Area- 50km Southwest of Miranshah,North Waziristan,FATA,1,0,5,0,0,0,0,0,5,0,3,0,Hafiz Gul Bahadur- Allied with Afghan Taliban,dailytimes,70.1455,32.9746,24
305,2012-07-01,,Shawal District- 50km Southwest of Miranshah,North Waziristan,FATA,1,0,8,0,0,0,0,0,8,0,0,0,No comments,com,70.1455,32.9746,26
306,2012-07-06,20:45:00,Zoi Nari- Tehsil Dattakhel,North Waziristan,FATA,6,0,0,4,17,0,0,4,17,2,3,0,No comments,tv,70.1455,32.9746,28
308,2012-07-23,23:00:00,Dray Nashtar Village- 65km West of Miranshah,North Waziristan,FATA,8,0,0,10,12,0,0,10,12,0,0,0,No comments,dailytimes,70.1455,32.9746,27
309,2012-07-29,18:30:00,Khushali Turkhel Village- 35km East of Miranshah,North Waziristan,FATA,6,0,0,0,0,0,7,0,7,0,0,0,Killed included Uzbek Militants,express,70.1455,32.9746,26
310,2012-08-18,13:30:00,Shuwedar Village,North Waziristan,FATA,2,0,6,0,6,0,0,6,12,0,3,0,No comments,com,70.1455,32.9746,26
311,2012-08-19,6:45:00,Mana- Shawal Area,North Waziristan,FATA,1,0,0,4,7,0,0,4,7,0,4,0,No comments,express,70.1455,32.9746,26
313,2012-08-21,,Shna Khora- 5km West of Miranshah,North Waziristan,FATA,1,0,0,3,6,0,0,3,6,3,4,0,No comments,nation,70.1455,32.9746,27
314,2012-08-24,,Makki Gharr- Shawal Area,North Waziristan,FATA,1,0,6,0,0,0,0,5,6,0,0,0,Targetted People Belong to Hafiz Gul Bahadur Group ,express,70.1455,32.9746,25
317,2012-09-01,9:00:00,Degan Area- Datta Khel,North Waziristan,FATA,4,0,0,4,6,0,0,4,6,0,2,0,No comments,com,70.1455,32.9746,25
